County,POE Name,Status,Geometry,Crossing Types,Lane Types,Delay,Year,Month,Date
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,59,2012,July,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,,2014,May,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,6,2016,November,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Passenger,Standard,,2018,October,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,64,2018,March,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,25,2015,October,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,22,2015,January,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,28,2014,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,9,2021,April,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,,2015,June,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,,2012,November,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,12,2014,May,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,3,2017,November,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,48,2021,April,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,SENTRI,,2013,November,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2016,June,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,23,2018,April,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,11,2020,January,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,34,2017,April,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Commercial,Standard,24,2022,January,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,17,2013,January,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Ready,10,2020,August,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,2,2015,October,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,41,2019,December,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Pedestrian,Standard,0,2017,September,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,34,2017,October,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Passenger,Ready,,2018,September,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,51,2017,March,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,12,2018,August,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,14,2017,September,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,SENTRI,10,2019,April,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Pedestrian,Standard,12,2017,February,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,,2018,November,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,SENTRI,,2015,November,
Imperial,Calexico East,Existing,POINT (-115.38766748631362 32.67336532617336),Commercial,Standard,9,2021,September,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Pedestrian,Standard,,2016,January,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,,2014,August,
Imperial,Andrade,Existing,POINT (-114.72822550381008 32.718470005577316),Passenger,Standard,40,2020,September,
San Diego,Tecate,Existing,POINT (-116.62749875679889 32.57652396492499),Pedestrian,Standard,6,2020,December,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Standard,39,2020,April,
San Diego,San Ysidro,Existing,POINT (-117.0294681170711 32.54316318124256),Passenger,Ready,40,2021,January,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Passenger,Standard,,2015,January,
Imperial,Calexico West,Existing,POINT (-115.49633142030937 32.665128403179615),Pedestrian,Standard,18,2011,December,
