Date,County,POE Name,Status,Crossing Types,Lane Types,Delay,Geometry
09/01/2017 12:00:00 AM,Imperial,Andrade,Existing,Pedestrian,Standard,0,POINT (-114.72822550381008 32.718470005577316)
11/01/2018 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Standard,,POINT (-115.38766748631362 32.67336532617336)
02/01/2022 12:00:00 AM,San Diego,Tecate,Existing,Passenger,Standard,27,POINT (-116.62749875679889 32.57652396492499)
01/01/2016 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Ready,26,POINT (-117.0294681170711 32.54316318124256)
05/01/2019 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Ready,6,POINT (-117.0294681170711 32.54316318124256)
12/01/2015 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Ready,35,POINT (-117.0294681170711 32.54316318124256)
10/01/2014 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,SENTRI,6,POINT (-117.0294681170711 32.54316318124256)
04/01/2018 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Standard,18,POINT (-115.49633142030937 32.665128403179615)
03/01/2012 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Ready,47,POINT (-117.0294681170711 32.54316318124256)
04/01/2015 12:00:00 AM,Imperial,Andrade,Existing,Pedestrian,Standard,,POINT (-114.72822550381008 32.718470005577316)
11/01/2018 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Ready,,POINT (-115.38766748631362 32.67336532617336)
06/01/2019 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,SENTRI,5,POINT (-115.38766748631362 32.67336532617336)
03/01/2012 12:00:00 AM,San Diego,Tecate,Existing,Passenger,Standard,35,POINT (-116.62749875679889 32.57652396492499)
09/01/2016 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Ready,14,POINT (-117.0294681170711 32.54316318124256)
02/01/2020 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Standard,10,POINT (-117.0294681170711 32.54316318124256)
08/01/2018 12:00:00 AM,San Diego,Tecate,Existing,Pedestrian,Standard,2,POINT (-116.62749875679889 32.57652396492499)
01/01/2014 12:00:00 AM,San Diego,Tecate,Existing,Pedestrian,Standard,5,POINT (-116.62749875679889 32.57652396492499)
11/01/2020 12:00:00 AM,Imperial,Calexico West,Existing,Passenger,SENTRI,7,POINT (-115.49633142030937 32.665128403179615)
03/01/2016 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Standard,,POINT (-115.38766748631362 32.67336532617336)
05/01/2019 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Standard,39,POINT (-115.38766748631362 32.67336532617336)
04/01/2021 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Standard,53,POINT (-115.38766748631362 32.67336532617336)
11/01/2014 12:00:00 AM,San Diego,Tecate,Existing,Commercial,Standard,11,POINT (-116.62749875679889 32.57652396492499)
10/01/2020 12:00:00 AM,San Diego,Tecate,Existing,Passenger,Standard,45,POINT (-116.62749875679889 32.57652396492499)
03/01/2014 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Standard,33,POINT (-117.0294681170711 32.54316318124256)
12/01/2014 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Ready,24,POINT (-117.0294681170711 32.54316318124256)
