Date,County,POE Name,Status,Crossing Types,Lane Types,Delay,Geometry
04/01/2018 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Standard,48.0,POINT (-115.38766748631362 32.67336532617336)
07/01/2015 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,SENTRI,24.40994152046784,POINT (-115.38766748631362 32.67336532617336)
06/01/2019 12:00:00 AM,San Diego,Tecate,Existing,Pedestrian,Standard,5.0,POINT (-116.62749875679889 32.57652396492499)
03/01/2021 12:00:00 AM,San Diego,Tecate,Existing,Commercial,Standard,23.0,POINT (-116.62749875679889 32.57652396492499)
11/01/2021 12:00:00 AM,Imperial,Calexico East,Existing,Pedestrian,Standard,4.0,POINT (-115.38766748631362 32.67336532617336)
09/01/2019 12:00:00 AM,Imperial,Andrade,Existing,Pedestrian,Standard,1.0,POINT (-114.72822550381008 32.718470005577316)
11/01/2012 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Ready,52.0,POINT (-117.0294681170711 32.54316318124256)
01/01/2012 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Ready,15.0,POINT (-115.38766748631362 32.67336532617336)
09/01/2017 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Ready,26.0,POINT (-117.0294681170711 32.54316318124256)
04/01/2021 12:00:00 AM,Imperial,Calexico West,Existing,Pedestrian,Standard,25.0,POINT (-115.49633142030937 32.665128403179615)
06/01/2017 12:00:00 AM,Imperial,Calexico West,Existing,Passenger,SENTRI,8.0,POINT (-115.49633142030937 32.665128403179615)
03/01/2016 12:00:00 AM,Imperial,Andrade,Existing,Passenger,Standard,24.40994152046784,POINT (-114.72822550381008 32.718470005577316)
10/01/2014 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Ready,13.0,POINT (-117.0294681170711 32.54316318124256)
02/01/2017 12:00:00 AM,San Diego,Tecate,Existing,Pedestrian,Standard,2.0,POINT (-116.62749875679889 32.57652396492499)
03/01/2017 12:00:00 AM,Imperial,Andrade,Existing,Passenger,Standard,35.0,POINT (-114.72822550381008 32.718470005577316)
11/01/2014 12:00:00 AM,Imperial,Calexico East,Existing,Pedestrian,Standard,24.40994152046784,POINT (-115.38766748631362 32.67336532617336)
04/01/2015 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Standard,27.0,POINT (-117.0294681170711 32.54316318124256)
10/01/2011 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,SENTRI,5.0,POINT (-117.0294681170711 32.54316318124256)
09/01/2012 12:00:00 AM,San Diego,Tecate,Existing,Passenger,Standard,40.0,POINT (-116.62749875679889 32.57652396492499)
09/01/2019 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,Standard,36.0,POINT (-115.38766748631362 32.67336532617336)
08/01/2015 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,SENTRI,10.0,POINT (-117.0294681170711 32.54316318124256)
08/01/2018 12:00:00 AM,Imperial,Calexico East,Existing,Passenger,SENTRI,7.0,POINT (-115.38766748631362 32.67336532617336)
01/01/2012 12:00:00 AM,San Diego,San Ysidro,Existing,Passenger,Ready,23.0,POINT (-117.0294681170711 32.54316318124256)
07/01/2016 12:00:00 AM,Imperial,Andrade,Existing,Pedestrian,Standard,24.40994152046784,POINT (-114.72822550381008 32.718470005577316)
09/01/2012 12:00:00 AM,Imperial,Calexico West,Existing,Passenger,SENTRI,24.40994152046784,POINT (-115.49633142030937 32.665128403179615)
01/01/2016 12:00:00 AM,San Diego,San Ysidro,Existing,Pedestrian,Ready,20.0,POINT (-117.0294681170711 32.54316318124256)
09/01/2019 12:00:00 AM,San Diego,Tecate,Existing,Pedestrian,Standard,5.0,POINT (-116.62749875679889 32.57652396492499)
